Date,X,Y,T,Marker,Condition
2023-11-18 14:13:01.215632,660,1044,0.0,start,1
2023-11-18 14:13:01.234628,650,1048,18.9964,normal,1
2023-11-18 14:13:01.280629,641,1054,63.9991,normal,1
2023-11-18 14:13:01.502850,637,1058,287.2184,stop,1
2023-11-18 14:13:02.479807,636,1058,1264.1757,start,1
2023-11-18 14:13:02.566980,631,1058,1351.3487,normal,1
2023-11-18 14:13:02.634807,619,1058,1419.1754,normal,1
2023-11-18 14:13:02.662923,609,1057,1447.2911,normal,1
2023-11-18 14:13:02.690918,597,1056,1475.2863,normal,1
2023-11-18 14:13:02.734931,587,1055,1519.2997,normal,1
2023-11-18 14:13:02.943024,580,1053,1726.3808,stop,1
2023-11-18 14:13:03.158554,580,1052,1942.9223,start,1
2023-11-18 14:13:03.258425,580,1047,2042.7932,normal,1
2023-11-18 14:13:03.302777,587,1039,2087.145,normal,1
2023-11-18 14:13:03.322776,596,1031,2107.1446,normal,1
2023-11-18 14:13:03.335797,604,1023,2120.1656,normal,1
2023-11-18 14:13:03.347769,615,1015,2132.1374,normal,1
2023-11-18 14:13:03.356774,627,1006,2140.1373,normal,1
2023-11-18 14:13:03.362769,641,997,2147.1371,normal,1
2023-11-18 14:13:03.371769,656,982,2156.1375,normal,1
2023-11-18 14:13:03.374769,666,974,2159.137,normal,1
2023-11-18 14:13:03.380769,675,965,2165.1374,normal,1
2023-11-18 14:13:03.382772,686,954,2167.1401,normal,1
2023-11-18 14:13:03.387769,699,943,2172.1373,normal,1
2023-11-18 14:13:03.390770,711,930,2175.1383,normal,1
2023-11-18 14:13:03.396769,725,915,2181.1374,normal,1
2023-11-18 14:13:03.398768,742,897,2183.1361,normal,1
2023-11-18 14:13:03.402797,760,875,2187.1655,normal,1
2023-11-18 14:13:03.406782,779,847,2191.1504,normal,1
2023-11-18 14:13:03.410875,805,816,2195.2428,normal,1
2023-11-18 14:13:03.414776,829,779,2199.1445,normal,1
2023-11-18 14:13:03.418765,855,741,2203.1335,normal,1
2023-11-18 14:13:03.422888,883,697,2207.2564,normal,1
2023-11-18 14:13:03.426777,911,651,2211.1449,normal,1
2023-11-18 14:13:03.430884,936,604,2215.2524,normal,1
2023-11-18 14:13:03.434776,965,551,2219.1445,normal,1
2023-11-18 14:13:03.438796,992,498,2223.1646,normal,1
2023-11-18 14:13:03.442770,1018,445,2227.1382,normal,1
2023-11-18 14:13:03.446775,1044,396,2231.1432,normal,1
2023-11-18 14:13:03.450769,1068,347,2235.1373,normal,1
2023-11-18 14:13:03.454765,1091,300,2239.1335,normal,1
2023-11-18 14:13:03.458771,1111,258,2243.1391,normal,1
2023-11-18 14:13:03.462765,1126,220,2247.1337,normal,1
2023-11-18 14:13:03.466765,1140,188,2251.1337,normal,1
2023-11-18 14:13:03.472769,1151,162,2256.1373,normal,1
2023-11-18 14:13:03.474772,1159,141,2259.1403,normal,1
2023-11-18 14:13:03.479765,1165,123,2264.1337,normal,1
2023-11-18 14:13:03.482766,1170,109,2267.1339,normal,1
2023-11-18 14:13:03.486882,1174,97,2271.2502,normal,1
2023-11-18 14:13:03.491768,1177,87,2276.1367,normal,1
2023-11-18 14:13:03.498776,1181,71,2283.1447,normal,1
2023-11-18 14:13:03.506799,1184,58,2291.1674,normal,1
